,News Outlet,Text,Compound Score,Positive Score,Neutral Score,Negative Score
0,@BBCWorld,"RT @BBCNewsAsia: Who says that beauty only comes in one size? 

Plus-size actress and Taiwanese social media celeb Wang Chi wants to prove…",0.5859,0.147,0.853,0.0
1,@BBCWorld,RT @BBCNewsAsia: Are you one of the WeChat billion? https://t.co/QY7ZsOnWhH,0.0,0.0,1.0,0.0
2,@BBCWorld,"RT @BBCNewsAsia: North Korea's Kim Jong-un says he wants to ""write a new history of national reunification"" with South Korea, state media r…",0.0,0.0,1.0,0.0
3,@BBCWorld,WeChat hits one billion monthly users - are you one of them? https://t.co/Qlygr0ZZNN,0.0,0.0,1.0,0.0
4,@BBCWorld,Is India's Bangalore doomed to be the next Cape Town? https://t.co/wxgjNFHrBS,-0.6369,0.0,0.704,0.296
5,@BBCWorld,Fancy charging up your electric car in 10 minutes? https://t.co/XmZeMDu7FL,0.0,0.0,1.0,0.0
6,@BBCWorld,A different portrait of black fatherhood https://t.co/iSr4EFLDvn,0.0,0.0,1.0,0.0
7,@BBCWorld,Should China's Xi Jinping be president for life? https://t.co/xM5LrJdnig,0.0,0.0,1.0,0.0
8,@BBCWorld,N Korea's Kim 'to advance' closer ties with South https://t.co/g8D2rv9Nh0,0.0,0.0,1.0,0.0
9,@BBCWorld,Syria crisis: Aid convoy inside Eastern Ghouta https://t.co/h9KQ9lxDCa,-0.6249,0.0,0.631,0.369
10,@BBCWorld,'Maisie is the face of change' https://t.co/fS5gdgQGxQ,0.0,0.0,1.0,0.0
11,@BBCWorld,Oscars 2018: US TV audience smallest for awards ceremony https://t.co/UegYh8KClM,0.4588,0.25,0.75,0.0
12,@BBCWorld,NFL wowed by one-handed player Shaquem Griffin https://t.co/bkgiY8bo6K,0.5574,0.34,0.66,0.0
13,@BBCWorld,Russian spy incident: What we know https://t.co/usdtsWH7Hu,0.0,0.0,1.0,0.0
14,@BBCWorld,Trump-Russia: Ex-aide refuses to co-operate with Mueller probe https://t.co/h9McKQN4tg,0.0,0.0,1.0,0.0
15,@BBCWorld,Tree 'planted by George Washington' toppled in winter storm https://t.co/O6NhrWHzWM,0.0,0.0,1.0,0.0
16,@BBCWorld,Oscars 2018: Highlights from the ceremony https://t.co/sTD98TyVvi,0.0,0.0,1.0,0.0
17,@BBCWorld,Germany's gender-neutral anthem alternative met with resistance https://t.co/BhdKDBZk0Y,0.0,0.0,1.0,0.0
18,@BBCWorld,Emails show UAE-linked effort against Tillerson https://t.co/NadvcjIbUq,0.0,0.0,1.0,0.0
19,@BBCWorld,Oscars 2018: Man arrested for theft of France's McDormand's Oscar https://t.co/xRsRwaWoCC,-0.4767,0.0,0.763,0.237
20,@BBCWorld,'Fair' Nafta could ease tariffs for Canada and Mexico - Trump https://t.co/2mLaAhaLnr,0.3612,0.2,0.8,0.0
21,@BBCWorld,Polish mountaineers end attempt to climb K2 in winter https://t.co/Mf0Fq0S7qx,0.0,0.0,1.0,0.0
